Name,API Provider
Apple News,Apple
Apple Movement Disorder,Apple
Apple MapKit JavaScript,Apple
Apple Music,Apple
Apple Metal,Apple
Microsoft Bing Maps,Microsoft
Bing,Microsoft
Hearthstone Card,Microsoft
Microsoft Health Cloud,Microsoft
Microsoft Azure Cognitive Services Immersive Reader,Microsoft
Google Maps,Google
Google Cloud Translation,Google
Google Custom Search,Google
Google Cast Game Manager,Google
FileMaker Data,Apple
Office 365 Service Communications,Microsoft
Google Plus,Google
Google Cloud Print,Google
Google Mirror,Google
Google Cloud OS Login,Google
Google Firebase Realtime Database,Google
Google Classroom,Google
Amazon Redshift,Amazon
Amazon Web Services CodeBuild,Amazon
Amazon Maps,Amazon
Amazon GameOn Game,Amazon
Alibaba Cloud Gateway,Alibaba Cloud
Alibaba Cloud BOA,Alibaba Cloud
Facebook Broadcast,Facebook
Facebook,Facebook